,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,84,I feel like you're driving me to court martial. This is crazy,anger,3,1,0,2,0,1,0,0
1,87,What did I do? I feel like you're gonna pull over and snuff me,Neutral,0,0,0,0,0,0,0,0
2,90,"What, you're not allowed to talk? Hey, Forest...",Neutral,0,0,0,0,0,0,0,0
3,93,"- We can talk, sir. - Oh, I see. So it's personal?",trust,0,0,0,0,0,0,0,2
4,96,"No, you intimidate them",fear,0,0,0,1,0,0,0,0
5,98,"Dear God, you're a woman! I honestly, I couldn't have called that",anticipation,0,1,0,1,1,0,0,1
6,101,"I mean, I would apologize, but isn't that what we're going for here?",sadness,0,0,0,0,0,1,0,1
7,103,I thought of you as a soldier first. - I'm an airman,anger,1,0,0,0,0,1,0,0
8,106,Well you have actually excellent bone structure there. I'm kinda...,trust,0,0,0,0,1,0,0,2
9,109,having a hard time not looking at you now. Is that weird?,anticipation,0,1,1,0,0,0,0,0
10,112,"C'mon, it's OK, laugh. Hey!",joy,0,0,0,0,1,0,1,0
11,114,"- Sir, I have a question to ask. - Yes, please",trust,0,0,0,0,0,0,0,1
12,117,It is true you went 12-for-12 with last year's Maxim cover models?,trust,0,0,0,0,0,0,0,2
13,120,That is an excellent question,joy,0,0,0,0,1,0,0,1
14,122,Yes and no. March and I had a scheduling conflict,anger,1,0,0,1,0,1,0,0
15,125,but fortunately the Christmas cover was twins. Anything else?,trust,0,0,0,0,0,0,0,1
16,128,"You're kidding me with a hand up, right?",Neutral,0,0,0,0,0,0,0,0
17,130,Is it cool if I take a picture with you?,Neutral,0,0,0,0,0,0,0,0
18,133,"Yes, it's very cool",Neutral,0,0,0,0,0,0,0,0
19,139,I don't wanna see this on your MySpace page,fear,0,0,0,1,0,1,0,0
20,141,"Please, no gang signs",anger,1,0,0,1,0,0,0,0
21,143,"No, throw it up, I'm kidding",Neutral,0,0,0,0,0,0,0,0
22,145,"Yeah, peace! I love peace. I'd be outta job with peace",joy,0,3,0,0,4,0,0,3
23,148,"C'mon! Just click it, don't change the settings, just click it",fear,0,0,0,1,0,0,0,0
24,157,What's going on?,Neutral,0,0,0,0,0,0,0,0
25,162,"Jimmy, stay with Stark!",trust,0,0,0,0,0,0,0,1
26,165,Lie down!,anger,1,0,1,0,0,1,0,0
27,172,Son of a bitch!,anger,1,0,1,1,0,1,0,0
28,175,"- Wait, wait, give me a gun! - Stay here!",anticipation,1,2,0,1,0,0,0,0
29,258,Tony Stark,trust,0,0,0,0,0,0,0,1
30,262,Visionary. Genius. American patriot,anticipation,0,1,0,0,1,0,0,1
31,266,Even from an early age,Neutral,0,0,0,0,0,0,0,0
32,268,the son of legendary weapons developer Howard Stark,trust,0,0,0,0,0,0,0,1
33,270,quickly stole the spotlight with his brilliant and unique mind,anger,1,1,0,1,1,1,1,1
34,273,"At age four, he built his first circuit board",anticipation,0,1,0,0,0,0,0,0
35,277,"At age six, his first engine",Neutral,0,0,0,0,0,0,0,0
36,280,"And at seventeen, he graduated Summa Cum Laude from MIT",Neutral,0,0,0,0,0,0,0,0
37,285,"Then, the passing of a titan",Neutral,0,0,0,0,0,0,0,0
38,288,Howard Stark's life long friend and ally Obadiah Stane,trust,0,1,0,0,1,0,0,2
39,292,steps in to help fill the gap left by the legendary founder,sadness,0,0,0,0,0,1,1,1
40,295,"Until at age 21, the prodigal son returns",Neutral,0,0,0,0,0,0,0,0
41,298,and is anointed the new CEO of Stark Industries,trust,0,0,0,0,0,0,0,1
42,302,"With the keys to the kingdom, Tony ushers in a new era",trust,0,0,0,0,0,0,0,1
43,305,"for his father's legacy, creating smarter weapons",joy,0,0,0,0,1,0,0,1
44,308,"advanced robotics, satellite targeting",anticipation,0,1,0,1,1,0,1,0
45,310,"Today, Tony Stark has changed the face of the weapons industry",fear,0,0,0,1,0,0,0,1
46,314,by ensuring freedom,joy,0,0,0,0,1,0,0,1
47,316,and protecting America and her interests around the globe,Neutral,0,0,0,0,0,0,0,0
48,328,As liaison to Stark Industries,trust,0,0,0,0,0,0,0,1
49,331,I've had the unique privilege of serving with a real patriot,trust,0,0,0,0,0,0,1,2
50,335,He is my friend and he is my great mentor,trust,0,0,0,0,1,0,0,2
51,339,"Ladies and gentlemen, it is my honor",trust,0,0,0,0,0,0,0,1
52,342,to present this year's Apogee Award to Mr. Tony Stark!,trust,0,2,0,0,2,0,2,3
53,353,Tony?,Neutral,0,0,0,0,0,0,0,0
54,367,"Thank you, Colonel",trust,0,0,0,0,0,0,0,1
55,369,This is beautiful. Thank you,joy,0,0,0,0,1,0,0,0
56,372,Thank you all very much. This is wonderful,joy,0,0,0,0,1,0,1,1
57,376,"Well, I'm not Tony Stark",trust,0,0,0,0,0,0,0,1
58,380,But if I were Tony...,Neutral,0,0,0,0,0,0,0,0
59,383,...I would tell you how honored I feel,trust,0,0,0,0,0,0,0,1
60,386,and what a joy it is to receive this very prestigious award,joy,0,1,0,0,2,0,1,1
61,391,"Tony, you know, the best thing about Tony...",Neutral,0,0,0,0,0,0,0,0
62,395,...is also the worst thing - he's always working,Neutral,0,0,0,0,0,0,0,0
63,403,C'mon!,Neutral,0,0,0,0,0,0,0,0
