,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,23,Been a while since I was up here in front of you.,Neutral,0,0,0,0,0,0,0,0
1,25,Maybe I'll do us all a favour and just stick to the cards.,anger,1,0,1,1,0,1,0,0
2,31,There's been speculation that I was involved in the events that occurred,fear,0,0,0,1,0,1,0,0
3,34,on the freeway and the rooftop...,Neutral,0,0,0,0,0,0,0,0
4,36,"Sorry, Mr. Stark, do you honestly expect us to believe that",trust,0,1,0,0,0,0,1,2
5,39,"that was a bodyguard in a suit that conveniently appeared,",trust,0,0,0,0,0,0,0,1
6,42,despite the fact that you sorely despise bodyguards?,anger,1,0,1,0,0,1,0,1
7,45,Yes.,Neutral,0,0,0,0,0,0,0,0
8,46,And this mysterious bodyguard was somehow equipped,anticipation,0,1,0,1,0,0,1,1
9,51,with an undisclosed Stark high-tech powered battle...,anger,1,1,0,0,0,0,0,1
10,55,I know that it's confusing.,Neutral,0,0,0,0,0,0,0,0
11,57,"It is one thing to question the official story, and another thing entirely",trust,0,0,0,0,0,0,0,1
12,60,"to make wild accusations, or insinuate that I'm a superhero.",surprise,0,0,0,0,0,0,1,0
13,67,"I mean, let's face it, I'm not the heroic type.",joy,0,0,0,0,1,0,1,1
14,70,"A laundry list of character defects,",anger,1,0,0,0,0,0,0,0
15,72,"all the mistakes I've made, largely public.",anticipation,0,1,0,0,0,1,0,0
16,75,The truth is,trust,0,0,0,0,0,0,0,1
17,82,I am Iron Man.,trust,0,0,0,0,0,0,0,1
18,95,Ivan.,Neutral,0,0,0,0,0,0,0,0
19,101,Vanya.,Neutral,0,0,0,0,0,0,0,0
20,318,"270 at 30 knots. Holding steady at 15,000 feet.",surprise,0,0,0,0,0,0,1,1
21,322,You are clear for exfiltration over the drop zone.,Neutral,0,0,0,0,0,0,0,0
22,439,Tony! Tony! Tony! Tony!,Neutral,0,0,0,0,0,0,0,0
23,444,It's good to be back.,anticipation,0,1,0,0,1,0,1,1
24,448,- You missed me? - Blow something up!,Neutral,0,0,0,0,0,0,0,0
25,450,"I missed you, too. Blow something up? I already did that.",Neutral,0,0,0,0,0,0,0,0
26,454,I'm not saying that the world is enjoying,anticipation,0,1,0,0,1,0,0,1
27,457,its longest period of uninterrupted peace in years because of me.,anticipation,0,1,0,0,1,0,0,1
28,465,"I'm not saying that from the ashes of captivity,",sadness,0,0,0,0,0,1,0,0
29,471,never has a greater Phoenix metaphor been personified in human history.,Neutral,0,0,0,0,0,0,0,0
30,479,"I'm not saying that Uncle Sam can kick back on a lawn chair,",anger,1,0,0,0,0,0,0,0
31,485,sipping on an iced tea,Neutral,0,0,0,0,0,0,0,0
32,486,because I haven't come across anyone who's man enough,Neutral,0,0,0,0,0,0,0,0
33,489,to go toe-to-toe with me on my best day.,Neutral,0,0,0,0,0,0,0,0
34,497,"I love you, Tony!",joy,0,0,0,0,1,0,0,0
35,498,"Please, it's not about me.",Neutral,0,0,0,0,0,0,0,0
36,501,It's not about you.,Neutral,0,0,0,0,0,0,0,0
37,506,It's not even about us. It's about legacy.,Neutral,0,0,0,0,0,0,0,0
38,509,It's about what we choose to leave behind for future generations.,sadness,0,0,0,0,0,1,1,0
39,512,"And that's why for the next year and for the first time since 1974,",anticipation,0,1,0,0,0,0,0,0
40,517,the best and brightest men and women,Neutral,0,0,0,0,0,0,0,0
41,519,of nations and corporations the world over,Neutral,0,0,0,0,0,0,0,0
42,521,"will pool their resources, share their collective vision,",anticipation,0,2,0,0,2,0,0,2
43,525,to leave behind a brighter future.,sadness,0,0,0,0,0,1,1,0
44,528,It's not about us.,Neutral,0,0,0,0,0,0,0,0
45,530,"Therefore, what I'm saying, if I'm saying anything,",Neutral,0,0,0,0,0,0,0,0
